order_id,status,submit_dt,planned_dt,target,reason,validity,actual_dt
ord_fc621f56,FILLED,2009-01-01,,1.0,Standing Order / DCA,GTC,2009-01-02
ord_c1d9f80e,FILLED,2009-01-02,,1.0,Standing Order / DCA,GTC,2009-01-05
ord_d7d9e614,FILLED,2009-01-05,,1.0,Standing Order / DCA,GTC,2009-01-06
ord_1aac0a71,FILLED,2009-01-06,,1.0,Standing Order / DCA,GTC,2009-01-07
ord_8bb93045,FILLED,2009-01-07,,1.0,Standing Order / DCA,GTC,2009-01-08
ord_63fdad53,FILLED,2009-01-08,,1.0,Standing Order / DCA,GTC,2009-01-09
ord_00ae35da,FILLED,2009-01-09,,1.0,Standing Order / DCA,GTC,2009-01-12
ord_addbc2fd,FILLED,2009-01-12,,0.0,油价击穿成本线与宏观熊市,GTC,2009-01-13
ord_89299dc8,FILLED,2009-01-21,,1.0,极端出清黄金坑抄底,GTC,2009-01-22
ord_14360939,FILLED,2009-01-22,,0.0,油价击穿成本线与宏观熊市,GTC,2009-01-23
ord_f85c0473,FILLED,2009-01-23,,1.0,极端出清黄金坑抄底,GTC,2009-01-26
ord_f3f1f2c6,FILLED,2009-01-26,,1.0,Standing Order / DCA,GTC,2009-01-27
ord_87cede71,FILLED,2009-01-27,,1.0,Standing Order / DCA,GTC,2009-01-28
ord_87fde347,FILLED,2009-01-28,,1.0,Standing Order / DCA,GTC,2009-01-29
ord_03baa448,FILLED,2009-01-29,,1.0,Standing Order / DCA,GTC,2009-01-30
ord_d304f3f9,FILLED,2009-01-30,,0.0,油价击穿成本线与宏观熊市,GTC,2009-02-02
ord_434437ba,FILLED,2009-02-04,,1.0,极端出清黄金坑抄底,GTC,2009-02-05
ord_29ec23fb,FILLED,2009-02-05,,1.0,Standing Order / DCA,GTC,2009-02-06
ord_ae91b8e9,FILLED,2009-02-06,,1.0,Standing Order / DCA,GTC,2009-02-09
ord_d5d70fe3,FILLED,2009-02-09,,1.0,Standing Order / DCA,GTC,2009-02-10
ord_22ad88d7,FILLED,2009-02-10,,1.0,Standing Order / DCA,GTC,2009-02-11
ord_b83a408a,FILLED,2009-02-11,,0.0,油价击穿成本线与宏观熊市,GTC,2009-02-12
ord_fe21738f,FILLED,2009-03-10,,1.0,极端出清黄金坑抄底,GTC,2009-03-11
ord_7bbcfb61,FILLED,2009-03-11,,0.0,油价击穿成本线与宏观熊市,GTC,2009-03-12
ord_7a9c89a7,FILLED,2009-03-12,,1.0,极端出清黄金坑抄底,GTC,2009-03-13
ord_44035e00,FILLED,2009-03-13,,0.0,油价击穿成本线与宏观熊市,GTC,2009-03-16
ord_aea9f441,FILLED,2009-03-16,,1.0,极端出清黄金坑抄底,GTC,2009-03-17
ord_fb26aa56,FILLED,2009-03-17,,0.0,油价击穿成本线与宏观熊市,GTC,2009-03-18
ord_204263b3,FILLED,2009-03-18,,1.0,极端出清黄金坑抄底,GTC,2009-03-19
ord_e050ac15,FILLED,2009-03-19,,1.0,Standing Order / DCA,GTC,2009-03-20
ord_4792ea4b,FILLED,2009-03-20,,0.0,油价击穿成本线与宏观熊市,GTC,2009-03-23
ord_7f5f874d,FILLED,2009-03-23,,1.0,极端出清黄金坑抄底,GTC,2009-03-24
ord_55a7a979,FILLED,2009-03-24,,1.0,Standing Order / DCA,GTC,2009-03-25
ord_9f6b3e34,FILLED,2009-03-25,,1.0,Standing Order / DCA,GTC,2009-03-26
ord_e0501000,FILLED,2009-03-26,,1.0,Standing Order / DCA,GTC,2009-03-27
ord_ac0ec5f3,FILLED,2009-03-27,,1.0,Standing Order / DCA,GTC,2009-03-30
ord_6fe94f86,FILLED,2009-03-30,,0.0,油价击穿成本线与宏观熊市,GTC,2009-03-31
ord_6b09e96a,FILLED,2009-04-02,,1.0,极端出清黄金坑抄底,GTC,2009-04-03
ord_c34351fb,FILLED,2009-04-03,,1.0,Standing Order / DCA,GTC,2009-04-06
ord_c62268a9,FILLED,2009-04-06,,1.0,Standing Order / DCA,GTC,2009-04-07
ord_b5cabedf,FILLED,2009-04-07,,0.0,油价击穿成本线与宏观熊市,GTC,2009-04-08
ord_7fa8499b,FILLED,2009-04-09,,1.0,极端出清黄金坑抄底,GTC,2009-04-10
ord_46d63458,FILLED,2009-04-10,,1.0,Standing Order / DCA,GTC,2009-04-13
ord_0a0b1e6f,FILLED,2009-04-13,,1.0,Standing Order / DCA,GTC,2009-04-14
