date,ticker,price,overheat_score,status_tag,rec_position,action_desc,gap,dist_200ma_pct,nfci,hyg,updated_at
2026-09-10,QQQ,708.69,15.2,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.026,7.26,-0.564,78.62,2026-09-12 20:43:26
2026-09-10,SPY,757.83,24.4,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.349,6.25,-0.564,78.62,2026-09-12 20:43:26
2026-09-11,QQQ,714.88,21.3,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.193,8.12,-0.564,78.6,2026-09-13 05:23:40
2026-09-11,SPY,764.29,32.9,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.564,7.1,-0.564,78.6,2026-09-13 05:23:40
2026-09-14,QQQ,709.18,16.9,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.247,7.19,-0.564,78.53,2026-09-15 00:26:36
2026-09-14,SPY,760.88,29.8,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.624,6.56,-0.564,78.53,2026-09-15 00:26:36
2026-09-15,QQQ,704.54,15.1,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.488,6.42,-0.564,78.38,2026-09-16 00:04:07
2026-09-15,SPY,757.39,28.5,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.836,6.01,-0.564,78.38,2026-09-16 00:04:07
2026-09-16,QQQ,704.72,14.3,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.418,6.38,-0.56,78.42,2026-09-17 11:59:48
2026-09-16,SPY,754.05,23.0,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.678,5.49,-0.56,78.42,2026-09-17 11:59:48
2026-09-17,QQQ,716.92,20.0,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.033,8.15,-0.56,78.72,2026-09-18 08:23:21
2026-09-17,SPY,762.6,26.7,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.334,6.62,-0.56,78.72,2026-09-18 08:23:21
2026-09-18,QQQ,721.45,27.6,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.516,8.74,-0.56,78.53,2026-09-21 04:32:22
2026-09-18,SPY,761.69,29.5,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.676,6.43,-0.56,78.53,2026-09-21 04:32:22
2026-09-21,QQQ,741.47,43.6,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.586,11.65,-0.56,78.68,2026-09-22 00:42:03
2026-09-21,SPY,773.5,40.7,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.702,8.01,-0.56,78.68,2026-09-22 00:42:03
2026-09-22,QQQ,747.46,48.9,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.722,12.43,-0.56,78.67,2026-09-23 00:07:33
2026-09-22,SPY,773.38,40.2,🟢 健康常态持仓,1.0,宏观流动性健康，趋势向上，放心持有并继续按部就班执行常规定投。,0.721,7.92,-0.56,78.67,2026-09-23 00:07:33
