轮次,卖出日期,卖出价,卖出诱因,卖出总得分,卖出动能分,卖出估值分,卖出广度分,卖出相对分,买入日期,买入价,买入诱因,买入总得分,价格绝对变动,持股份额变动,是否实现低买高卖
1,2013-04-08,13.05727195739746,泡沫高点破位预警,53.161375661375665,85.71428571428571,9.788359788359788,67.26190476190477,25.992063492063494,2013-05-07,13.555953025817873,突破前高阻力重拾升势,70.30423280423281,+3.82%,+1.95%,✅ 是
2,2013-06-17,13.39621639251709,泡沫高点破位预警,65.96891534391534,76.98412698412699,58.994708994709,81.15079365079364,26.58730158730159,2013-07-11,14.040143966674805,突破前高阻力重拾升势,68.39616402116403,+4.81%,+0.46%,✅ 是
3,2014-03-27,16.026742935180664,泡沫高点破位预警,40.00661375661375,59.523809523809526,35.58201058201058,18.849206349206348,37.10317460317461,2014-05-28,16.005229949951172,雷达冷却且均线修复,13.012566137566138,-0.13%,+6.57%,✅ 是
4,2015-07-02,19.544090270996094,泡沫高点破位预警,74.34193121693121,65.27777777777779,88.35978835978835,91.66666666666666,43.25396825396825,2015-07-16,20.189672470092773,突破前高阻力重拾升势,69.40806878306879,+3.30%,-3.20%,❌ 踏空
5,2015-08-24,17.99390983581543,泡沫高点破位预警,18.794642857142854,22.22222222222222,2.380952380952381,1.0912698412698412,67.65873015873017,2015-10-08,19.377485275268555,雷达冷却且均线修复,22.10978835978836,+7.69%,-3.47%,❌ 踏空
6,2016-10-14,22.07724952697754,泡沫高点破位预警,59.06084656084656,74.0079365079365,21.56084656084656,97.61904761904762,22.42063492063492,2016-11-21,22.56464195251465,突破前高阻力重拾升势,62.73809523809523,+2.21%,-0.82%,❌ 踏空
7,2018-04-03,33.21335220336914,泡沫高点破位预警,50.763888888888886,40.07936507936508,91.26984126984127,0.7936507936507936,91.46825396825396,2018-04-17,35.29265213012695,突破前高阻力重拾升势,58.465608465608454,+6.26%,-5.89%,❌ 踏空
8,2018-10-10,36.08588409423828,泡沫高点破位预警,28.273809523809522,16.666666666666664,86.11111111111111,0.1984126984126984,5.753968253968254,2018-12-28,34.14195251464844,极度恐慌修复买入,24.05588624338624,-5.39%,+7.23%,✅ 是
9,2019-05-29,41.51556396484375,泡沫高点破位预警,51.66005291005291,32.93650793650794,54.4973544973545,64.48412698412699,69.24603174603175,2019-06-21,43.84781646728516,突破前高阻力重拾升势,63.210978835978835,+5.62%,-4.78%,❌ 踏空
10,2019-08-07,42.11084365844727,泡沫高点破位预警,23.369708994708997,23.015873015873016,44.70899470899471,13.095238095238097,5.753968253968254,2019-10-16,42.35330581665039,雷达冷却且均线修复,25.06283068783069,+0.58%,+0.59%,✅ 是
11,2020-02-28,46.620235443115234,泡沫高点破位预警,40.91269841269841,59.523809523809526,29.365079365079367,5.357142857142857,75.9920634920635,2020-03-25,40.2778205871582,极度恐慌修复买入,20.939153439153436,-13.60%,+16.34%,✅ 是
12,2020-11-02,60.5134162902832,泡沫高点破位预警,63.06547619047619,74.0079365079365,95.63492063492063,19.444444444444446,55.952380952380956,2020-11-09,64.35011291503906,突破前高阻力重拾升势,76.79232804232804,+6.34%,-5.65%,❌ 踏空
13,2021-03-05,67.27911376953125,泡沫高点破位预警,40.76223544973545,39.08730158730159,98.14814814814815,5.654761904761905,7.5396825396825395,2021-04-13,74.07279968261719,突破前高阻力重拾升势,49.31878306878307,+10.10%,-8.89%,❌ 踏空
