轮次,卖出日期,卖出价格,卖出诱因,买入日期,买入价格,买回诱因,期间绝对跌幅,波段是否有效避险
1,2009-01-06,19.0,区域银行急性挤兑,2009-01-29,14.58,极端出清黄金坑抄底,-23.26%,✅ 有效
2,2009-05-27,13.36,系统性信贷紧缩危机,2009-06-02,13.63,极端出清黄金坑抄底,+2.00%,❌ 踏空磨损
3,2009-06-30,12.61,系统性信贷紧缩危机,2009-07-14,12.61,极端出清黄金坑抄底,+0.05%,❌ 踏空磨损
4,2010-05-21,17.65,微观雷达泡沫与信贷过热,2010-08-05,16.78,微观雷达降温且右侧重构,-4.98%,✅ 有效
5,2011-08-09,15.73,区域银行急性挤兑,2011-08-25,14.72,极端出清黄金坑抄底,-6.38%,✅ 有效
6,2012-05-15,19.54,微观雷达泡沫与信贷过热,2012-07-03,20.15,突破卖出价右侧防踏空接回,+3.12%,❌ 踏空磨损
7,2013-09-03,25.93,微观雷达泡沫与信贷过热,2013-10-15,27.12,突破卖出价右侧防踏空接回,+4.58%,❌ 踏空磨损
8,2015-01-15,27.7,区域银行急性挤兑,2015-02-10,30.05,突破卖出价右侧防踏空接回,+8.48%,❌ 踏空磨损
9,2015-08-25,29.47,区域银行急性挤兑,2015-10-12,32.48,突破卖出价右侧防踏空接回,+10.21%,❌ 踏空磨损
10,2016-01-12,29.67,区域银行急性挤兑,2016-02-17,27.39,极端出清黄金坑抄底,-7.67%,✅ 有效
11,2016-06-28,28.52,区域银行急性挤兑,2016-07-15,31.45,突破卖出价右侧防踏空接回,+10.25%,❌ 踏空磨损
12,2018-10-23,42.85,区域银行急性挤兑,2018-12-31,38.02,极端出清黄金坑抄底,-11.27%,✅ 有效
13,2019-08-15,39.95,区域银行急性挤兑,2019-09-12,44.37,突破卖出价右侧防踏空接回,+11.04%,❌ 踏空磨损
14,2020-02-28,39.52,区域银行急性挤兑,2020-03-27,28.03,极端出清黄金坑抄底,-29.07%,✅ 有效
15,2022-04-13,58.06,区域银行急性挤兑,2022-07-22,54.57,金融信贷舒缓且区域银行广度修复,-6.01%,✅ 有效
16,2022-12-16,51.06,区域银行急性挤兑,2023-01-31,56.11,突破卖出价右侧防踏空接回,+9.88%,❌ 踏空磨损
17,2023-03-10,45.79,区域银行急性挤兑,2023-03-30,39.56,极端出清黄金坑抄底,-13.60%,✅ 有效
18,2024-02-14,44.6,微观雷达泡沫与信贷过热,2024-04-02,45.59,突破卖出价右侧防踏空接回,+2.24%,❌ 踏空磨损
19,2024-12-20,58.17,区域银行急性挤兑,2025-01-30,61.95,突破卖出价右侧防踏空接回,+6.49%,❌ 踏空磨损
20,2025-03-14,54.67,区域银行急性挤兑,2025-05-07,53.82,金融信贷舒缓且区域银行广度修复,-1.55%,✅ 有效
21,2026-03-04,66.72,微观雷达泡沫与信贷过热,2026-04-13,68.99,突破卖出价右侧防踏空接回,+3.40%,❌ 踏空磨损
