date,pct_above_20ma,pct_above_50ma,pct_above_200ma,advances,declines,ad_ratio
2025-07-07,0.0,0.0,0.0,0,0,0.0
2025-07-08,0.0,0.0,0.0,15,15,1.0
2025-07-09,0.0,0.0,0.0,17,13,1.31
2025-07-10,0.0,0.0,0.0,20,10,2.0
2025-07-11,0.0,0.0,0.0,12,18,0.67
2025-07-14,0.0,0.0,0.0,16,14,1.14
2025-07-15,0.0,0.0,0.0,6,24,0.25
2025-07-16,0.0,0.0,0.0,17,12,1.42
2025-07-17,0.0,0.0,0.0,18,12,1.5
2025-07-18,0.0,0.0,0.0,13,17,0.76
2025-07-21,0.0,0.0,0.0,17,13,1.31
2025-07-22,0.0,0.0,0.0,24,6,4.0
2025-07-23,0.0,0.0,0.0,22,8,2.75
2025-07-24,0.0,0.0,0.0,16,14,1.14
2025-07-25,0.0,0.0,0.0,20,10,2.0
2025-07-28,0.0,0.0,0.0,13,17,0.76
2025-07-29,0.0,0.0,0.0,14,16,0.88
2025-07-30,0.0,0.0,0.0,9,21,0.43
2025-07-31,0.0,0.0,0.0,5,25,0.2
2025-08-01,36.67,0.0,0.0,13,17,0.76
2025-08-04,46.67,0.0,0.0,26,4,6.5
2025-08-05,43.33,0.0,0.0,10,20,0.5
2025-08-06,60.0,0.0,0.0,18,12,1.5
2025-08-07,60.0,0.0,0.0,17,13,1.31
2025-08-08,63.33,0.0,0.0,24,6,4.0
2025-08-11,66.67,0.0,0.0,11,18,0.61
2025-08-12,73.33,0.0,0.0,23,6,3.83
2025-08-13,80.0,0.0,0.0,19,11,1.73
2025-08-14,86.67,0.0,0.0,17,13,1.31
2025-08-15,73.33,0.0,0.0,17,13,1.31
2025-08-18,73.33,0.0,0.0,14,16,0.88
2025-08-19,66.67,0.0,0.0,17,13,1.31
2025-08-20,73.33,0.0,0.0,17,13,1.31
2025-08-21,66.67,0.0,0.0,10,20,0.5
2025-08-22,83.33,0.0,0.0,27,3,9.0
2025-08-25,80.0,0.0,0.0,5,24,0.21
2025-08-26,83.33,0.0,0.0,12,18,0.67
2025-08-27,83.33,0.0,0.0,19,11,1.73
2025-08-28,83.33,0.0,0.0,14,16,0.88
2025-08-29,80.0,0.0,0.0,22,8,2.75
2025-09-02,70.0,0.0,0.0,12,18,0.67
2025-09-03,70.0,0.0,0.0,15,15,1.0
2025-09-04,76.67,0.0,0.0,24,6,4.0
2025-09-05,60.0,0.0,0.0,12,18,0.67
2025-09-08,60.0,0.0,0.0,11,19,0.58
2025-09-09,63.33,0.0,0.0,21,9,2.33
2025-09-10,46.67,0.0,0.0,9,21,0.43
2025-09-11,66.67,0.0,0.0,24,6,4.0
2025-09-12,63.33,0.0,0.0,10,20,0.5
2025-09-15,56.67,73.33,0.0,15,15,1.0
2025-09-16,56.67,70.0,0.0,17,13,1.31
2025-09-17,66.67,73.33,0.0,23,7,3.29
2025-09-18,60.0,73.33,0.0,13,17,0.76
2025-09-19,56.67,73.33,0.0,17,13,1.31
2025-09-22,43.33,66.67,0.0,14,16,0.88
2025-09-23,43.33,56.67,0.0,11,19,0.58
2025-09-24,50.0,56.67,0.0,13,16,0.81
2025-09-25,50.0,50.0,0.0,9,21,0.43
2025-09-26,50.0,53.33,0.0,23,7,3.29
2025-09-29,50.0,53.33,0.0,17,13,1.31
2025-09-30,60.0,66.67,0.0,20,10,2.0
2025-10-01,66.67,66.67,0.0,18,12,1.5
2025-10-02,56.67,66.67,0.0,8,22,0.36
2025-10-03,70.0,70.0,0.0,22,8,2.75
2025-10-06,66.67,66.67,0.0,14,16,0.88
2025-10-07,63.33,70.0,0.0,16,14,1.14
2025-10-08,60.0,70.0,0.0,12,18,0.67
2025-10-09,60.0,76.67,0.0,9,21,0.43
2025-10-10,36.67,53.33,0.0,4,26,0.15
2025-10-13,36.67,53.33,0.0,19,11,1.73
2025-10-14,43.33,66.67,0.0,19,11,1.73
2025-10-15,46.67,63.33,0.0,15,15,1.0
2025-10-16,36.67,46.67,0.0,9,21,0.43
2025-10-17,50.0,63.33,0.0,26,4,6.5
2025-10-20,66.67,70.0,0.0,24,5,4.8
2025-10-21,70.0,66.67,0.0,15,15,1.0
2025-10-22,73.33,66.67,0.0,13,17,0.76
2025-10-23,76.67,70.0,0.0,17,13,1.31
2025-10-24,76.67,63.33,0.0,20,10,2.0
2025-10-27,80.0,76.67,0.0,22,8,2.75
2025-10-28,70.0,76.67,0.0,12,18,0.67
2025-10-29,50.0,70.0,0.0,10,20,0.5
2025-10-30,46.67,63.33,0.0,17,12,1.42
2025-10-31,50.0,60.0,0.0,12,18,0.67
2025-11-03,43.33,50.0,0.0,10,20,0.5
2025-11-04,40.0,46.67,0.0,15,15,1.0
2025-11-05,50.0,53.33,0.0,15,15,1.0
2025-11-06,43.33,50.0,0.0,15,15,1.0
2025-11-07,46.67,56.67,0.0,21,9,2.33
2025-11-10,50.0,56.67,0.0,17,13,1.31
2025-11-11,63.33,70.0,0.0,24,6,4.0
2025-11-12,66.67,66.67,0.0,18,11,1.64
2025-11-13,63.33,66.67,0.0,12,18,0.67
2025-11-14,50.0,66.67,0.0,12,18,0.67
2025-11-17,43.33,53.33,0.0,7,23,0.3
2025-11-18,50.0,50.0,0.0,12,18,0.67
2025-11-19,40.0,50.0,0.0,13,16,0.81
2025-11-20,43.33,46.67,0.0,6,24,0.25
2025-11-21,60.0,56.67,0.0,24,6,4.0
2025-11-24,53.33,53.33,0.0,15,15,1.0
2025-11-25,63.33,60.0,0.0,27,3,9.0
2025-11-26,73.33,63.33,0.0,17,13,1.31
2025-11-28,80.0,63.33,0.0,24,6,4.0
2025-12-01,70.0,60.0,0.0,9,21,0.43
2025-12-02,60.0,56.67,0.0,12,18,0.67
2025-12-03,70.0,66.67,0.0,19,11,1.73
2025-12-04,60.0,66.67,0.0,12,18,0.67
2025-12-05,56.67,60.0,0.0,14,16,0.88
2025-12-08,56.67,60.0,0.0,6,24,0.25
2025-12-09,43.33,50.0,0.0,10,20,0.5
2025-12-10,63.33,60.0,0.0,23,7,3.29
2025-12-11,66.67,63.33,0.0,17,12,1.42
2025-12-12,63.33,70.0,0.0,20,10,2.0
2025-12-15,70.0,76.67,0.0,20,10,2.0
2025-12-16,56.67,63.33,0.0,7,23,0.3
2025-12-17,56.67,66.67,0.0,12,18,0.67
2025-12-18,60.0,66.67,0.0,13,16,0.81
