轮次,卖出日期,卖出价格,卖出诱因,买入日期,买入价格,买回诱因,期间绝对跌幅,波段是否有效避险
1,2014-04-25,9.45,熊市反弹衰竭,2014-05-22,10.09,恐慌左侧耗竭拐点回补,+6.80%,❌ 踏空磨损
2,2016-03-29,12.23,熊市反弹衰竭,2016-04-01,12.41,均线右侧牛市确认建仓,+1.46%,❌ 踏空磨损
3,2016-05-06,13.46,熊市反弹衰竭,2016-05-09,13.49,均线右侧牛市确认建仓,+0.22%,❌ 踏空磨损
4,2018-03-23,32.95,极度泡沫破裂,2018-03-26,34.29,均线右侧牛市确认建仓,+4.05%,❌ 踏空磨损
5,2018-04-27,32.64,极度泡沫破裂,2018-05-08,35.21,均线右侧牛市确认建仓,+7.87%,❌ 踏空磨损
6,2018-05-23,34.79,极度泡沫破裂,2018-05-24,35.1,均线右侧牛市确认建仓,+0.90%,❌ 踏空磨损
7,2019-01-04,35.85,熊市反弹衰竭,2019-01-09,38.09,均线右侧牛市确认建仓,+6.27%,❌ 踏空磨损
8,2019-05-21,54.24,极度泡沫破裂,2019-05-22,54.68,均线右侧牛市确认建仓,+0.80%,❌ 踏空磨损
9,2019-07-22,58.76,极度泡沫破裂,2019-07-23,58.2,均线右侧牛市确认建仓,-0.95%,✅ 有效
10,2020-03-30,57.28,熊市反弹衰竭,2020-05-04,70.93,均线右侧牛市确认建仓,+23.83%,❌ 踏空磨损
11,2020-06-05,78.09,极度泡沫破裂,2020-06-08,77.33,均线右侧牛市确认建仓,-0.98%,✅ 有效
12,2020-08-07,86.24,极度泡沫破裂,2020-08-10,87.74,均线右侧牛市确认建仓,+1.73%,❌ 踏空磨损
13,2020-09-08,88.63,极度泡沫破裂,2020-09-09,91.64,均线右侧牛市确认建仓,+3.40%,❌ 踏空磨损
14,2020-10-27,99.96,极度泡沫破裂,2020-10-28,96.81,均线右侧牛市确认建仓,-3.15%,✅ 有效
15,2021-05-26,97.08,熊市反弹衰竭,2021-06-11,99.6,恐慌左侧耗竭拐点回补,+2.60%,❌ 踏空磨损
16,2022-02-15,118.33,熊市反弹衰竭,2022-02-16,118.18,恐慌左侧耗竭拐点回补,-0.13%,✅ 有效
17,2022-03-11,102.43,熊市反弹衰竭,2022-03-18,115.98,恐慌左侧耗竭拐点回补,+13.22%,❌ 踏空磨损
18,2022-04-01,109.74,熊市反弹衰竭,2022-04-05,110.64,恐慌左侧耗竭拐点回补,+0.83%,❌ 踏空磨损
19,2022-05-25,90.46,熊市反弹衰竭,2022-06-07,101.29,均线右侧牛市确认建仓,+11.97%,❌ 踏空磨损
20,2022-08-22,91.94,熊市反弹衰竭,2022-09-09,94.01,恐慌左侧耗竭拐点回补,+2.24%,❌ 踏空磨损
21,2022-09-20,82.24,熊市反弹衰竭,2022-10-05,84.12,恐慌左侧耗竭拐点回补,+2.28%,❌ 踏空磨损
22,2022-10-13,72.38,熊市反弹衰竭,2022-10-26,73.28,恐慌左侧耗竭拐点回补,+1.25%,❌ 踏空磨损
23,2022-11-29,79.37,熊市反弹衰竭,2022-11-30,83.26,均线右侧牛市确认建仓,+4.90%,❌ 踏空磨损
24,2022-12-23,76.37,熊市反弹衰竭,2023-01-05,73.26,恐慌左侧耗竭拐点回补,-4.07%,✅ 有效
25,2023-07-28,113.91,极度泡沫破裂,2023-07-31,116.6,均线右侧牛市确认建仓,+2.36%,❌ 踏空磨损
26,2023-12-15,139.65,极度泡沫破裂,2023-12-18,140.74,均线右侧牛市确认建仓,+0.78%,❌ 踏空磨损
27,2024-02-20,150.57,极度泡沫破裂,2024-02-21,149.59,均线右侧牛市确认建仓,-0.65%,✅ 有效
28,2024-12-19,214.97,极度泡沫破裂,2024-12-20,218.25,均线右侧牛市确认建仓,+1.52%,❌ 踏空磨损
29,2025-03-27,165.55,熊市反弹衰竭,2025-04-15,163.3,恐慌左侧耗竭拐点回补,-1.36%,✅ 有效
30,2025-04-17,154.43,熊市反弹衰竭,2025-04-29,188.57,均线右侧牛市确认建仓,+22.11%,❌ 踏空磨损
31,2025-12-16,156.22,熊市反弹衰竭,2026-02-19,107.37,恐慌左侧耗竭拐点回补,-31.27%,✅ 有效
32,2026-02-20,104.27,熊市反弹衰竭,2026-04-21,100.14,恐慌左侧耗竭拐点回补,-3.96%,✅ 有效
33,2026-04-24,90.17,熊市反弹衰竭,2026-04-27,90.45,恐慌左侧耗竭拐点回补,+0.31%,❌ 踏空磨损
34,2026-06-12,102.15,熊市反弹衰竭,2026-06-15,104.15,均线右侧牛市确认建仓,+1.96%,❌ 踏空磨损
35,2026-07-22,95.46,熊市反弹衰竭,2026-07-29,115.76,恐慌左侧耗竭拐点回补,+21.27%,❌ 踏空磨损
