date,diluted_shares_m,sbc_pct_rev,insider_net_flow_m
2010-01-04,125.0,15.2,0.0
2010-01-05,125.0,15.2,0.0
2010-01-06,125.0,15.2,0.0
2010-01-07,125.0,15.2,0.0
2010-01-08,125.0,15.2,0.0
2010-01-11,125.0,15.2,0.0
2010-01-12,125.0,15.2,0.0
2010-01-13,125.0,15.2,0.0
2010-01-14,125.0,15.2,0.0
2010-01-15,125.0,15.2,0.0
2010-01-19,125.0,15.2,0.0
2010-01-20,125.0,15.2,0.0
2010-01-21,125.0,15.2,0.0
2010-01-22,125.0,15.2,0.0
2010-01-25,125.0,15.2,0.0
2010-01-26,125.0,15.2,0.0
2010-01-27,125.0,15.2,0.0
2010-01-28,125.0,15.2,0.0
2010-01-29,125.0,15.2,0.0
2010-02-01,125.0,15.2,0.0
2010-02-02,125.0,15.2,0.0
2010-02-03,125.0,15.2,0.0
2010-02-04,125.0,15.2,0.0
2010-02-05,125.0,15.2,0.0
2010-02-08,125.0,15.2,0.0
2010-02-09,125.0,15.2,0.0
2010-02-10,125.0,15.2,0.0
2010-02-11,125.0,15.2,0.0
2010-02-12,125.0,15.2,0.0
2010-02-16,125.0,15.2,0.0
2010-02-17,125.0,15.2,0.0
2010-02-18,125.0,15.2,0.0
2010-02-19,125.0,15.2,0.0
2010-02-22,125.0,15.2,0.0
2010-02-23,125.0,15.2,0.0
2010-02-24,125.0,15.2,0.0
2010-02-25,125.0,15.2,0.0
2010-02-26,125.0,15.2,0.0
2010-03-01,125.0,15.2,0.0
2010-03-02,125.0,15.2,0.0
2010-03-03,125.0,15.2,0.0
2010-03-04,125.0,15.2,0.0
2010-03-05,125.0,15.2,0.0
2010-03-08,125.0,15.2,0.0
2010-03-09,125.0,15.2,0.0
2010-03-10,125.0,15.2,0.0
2010-03-11,125.0,15.2,0.0
2010-03-12,125.0,15.2,0.0
2010-03-15,125.0,15.2,0.0
2010-03-16,125.0,15.2,0.0
2010-03-17,125.0,15.2,0.0
2010-03-18,125.0,15.2,0.0
2010-03-19,125.0,15.2,0.0
2010-03-22,125.0,15.2,0.0
2010-03-23,125.0,15.2,0.0
2010-03-24,125.0,15.2,0.0
2010-03-25,125.0,15.2,0.0
2010-03-26,125.0,15.2,0.0
2010-03-29,125.0,15.2,0.0
2010-03-30,125.0,15.2,0.0
2010-03-31,125.0,15.2,0.0
2010-04-01,125.0,15.2,0.0
2010-04-05,125.0,15.2,0.0
2010-04-06,125.0,15.2,0.0
2010-04-07,125.0,15.2,0.0
2010-04-08,125.0,15.2,0.0
2010-04-09,125.0,15.2,0.0
2010-04-12,125.0,15.2,0.0
2010-04-13,125.0,15.2,0.0
2010-04-14,125.0,15.2,0.0
2010-04-15,125.0,15.2,0.0
2010-04-16,125.0,15.2,0.0
2010-04-19,125.0,15.2,0.0
2010-04-20,125.0,15.2,0.0
2010-04-21,125.0,15.2,0.0
2010-04-22,125.0,15.2,0.0
2010-04-23,125.0,15.2,0.0
2010-04-26,125.0,15.2,0.0
2010-04-27,125.0,15.2,0.0
2010-04-28,125.0,15.2,0.0
2010-04-29,125.0,15.2,0.0
2010-04-30,125.0,15.2,0.0
2010-05-03,125.0,15.2,0.0
2010-05-04,125.0,15.2,0.0
2010-05-05,125.0,15.2,0.0
2010-05-06,125.0,15.2,0.0
2010-05-07,125.0,15.2,0.0
2010-05-10,125.0,15.2,0.0
2010-05-11,125.0,15.2,0.0
2010-05-12,125.0,15.2,0.0
2010-05-13,125.0,15.2,0.0
2010-05-14,125.0,15.2,0.0
2010-05-17,125.0,15.2,0.0
2010-05-18,125.0,15.2,0.0
2010-05-19,125.0,15.2,0.0
2010-05-20,125.0,15.2,0.0
2010-05-21,125.0,15.2,0.0
2010-05-24,125.0,15.2,0.0
2010-05-25,125.0,15.2,0.0
2010-05-26,125.0,15.2,0.0
2010-05-27,125.0,15.2,0.0
2010-05-28,125.0,15.2,0.0
2010-06-01,125.0,15.2,0.0
2010-06-02,125.0,15.2,0.0
2010-06-03,125.0,15.2,0.0
2010-06-04,125.0,15.2,0.0
2010-06-07,125.0,15.2,0.0
2010-06-08,125.0,15.2,0.0
2010-06-09,125.0,15.2,0.0
2010-06-10,125.0,15.2,0.0
2010-06-11,125.0,15.2,0.0
2010-06-14,125.0,15.2,0.0
2010-06-15,125.0,15.2,0.0
2010-06-16,125.0,15.2,0.0
2010-06-17,125.0,15.2,0.0
2010-06-18,125.0,15.2,0.0
2010-06-21,125.0,15.2,0.0
2010-06-22,125.0,15.2,0.0
2010-06-23,125.0,15.2,0.0
2010-06-24,125.0,15.2,0.0
2010-06-25,125.0,15.2,0.0
2010-06-28,125.0,15.2,0.0
2010-06-29,125.0,15.2,0.0
2010-06-30,125.0,15.2,0.0
2010-07-01,125.0,15.2,0.0
2010-07-02,125.0,15.2,0.0
2010-07-06,125.0,15.2,0.0
2010-07-07,125.0,15.2,0.0
2010-07-08,125.0,15.2,0.0
2010-07-09,125.0,15.2,0.0
2010-07-12,125.0,15.2,0.0
2010-07-13,125.0,15.2,0.0
2010-07-14,125.0,15.2,0.0
2010-07-15,125.0,15.2,0.0
2010-07-16,125.0,15.2,0.0
2010-07-19,125.0,15.2,0.0
